datetime,email,reason,sid,tag,diagnosticCode,firstname,lastname,domain,lists,fields,supressionlists
2023-06-26 06:05:00,295e9b4702a9b450f2c3eb40c66c7c01,Blocked,210,,smtp_554 Blocked - see https://ipcheck.proofpoint.com/?ip=[ip_address],,,viparis.com,,,
2023-06-26 06:04:00,5240d7aa7bc01098fb4720880d9e248e,Blocked,210,,smtp_554 Blocked - see https://ipcheck.proofpoint.com/?ip=[ip_address],,,kpmg.fr,,,
2023-06-26 06:06:00,99b78fabfe4f0e09ea44392c375b5c32,Blocked,253,,smtp_554 Blocked - see https://ipcheck.proofpoint.com/?ip=[ip_address],,,lagardere.fr,,,
2023-06-26 06:06:00,42c65c6af8433b14b1d61d330446cd78,Blocked,253,,smtp_554 Blocked - see https://ipcheck.proofpoint.com/?ip=[ip_address],,,groupeseb.com,,,
2023-06-26 06:06:00,92156a782218554b0748671e3de782ec,Blocked,253,,smtp_554 Blocked - see https://ipcheck.proofpoint.com/?ip=[ip_address],,,efidis.fr,,,
2023-06-26 06:06:00,0a19584410c8affcce9d13d37e68da62,Blocked,210,,smtp_554 Blocked - see https://ipcheck.proofpoint.com/?ip=[ip_address],,,fr.otis.com,,,
2023-06-26 06:08:00,e7fbcdf9b1493afac5f6da80e8c7b3e1,Blocked,210,,smtp_554 Blocked - see https://ipcheck.proofpoint.com/?ip=[ip_address],,,gsk.com,,,
2023-06-26 06:08:00,52d2a14ca9c8a381994c3efc907f7f0b,Blocked,253,,smtp_554 Blocked - see https://ipcheck.proofpoint.com/?ip=[ip_address],,,e-weber.com,,,
2023-06-26 06:08:00,ab1719b70ff773d69be9636fff592dd4,Blocked,210,,smtp_554 Blocked - see https://ipcheck.proofpoint.com/?ip=[ip_address],,,sis.fr,,,
2023-06-26 06:09:00,fa991e85119e3b59464b289adecaee2c,Blocked,210,,smtp_554 Blocked - see https://ipcheck.proofpoint.com/?ip=[ip_address],,,barilla.com,,,
2023-06-26 06:09:00,21d9bb5990ef24a0b79184a043efa9c9,Blocked,253,,smtp_554 Blocked - see https://ipcheck.proofpoint.com/?ip=[ip_address],,,saint-gobain.com,,,
2023-06-26 06:09:00,970ce47d060725e0108afcb74a8cbb36,Blocked,253,,smtp_554 Blocked - see https://ipcheck.proofpoint.com/?ip=[ip_address],,,directassurance.fr,,,
2023-06-26 06:09:00,7eef1ed994cdb598f8cd5803648b4129,Blocked,253,,smtp_554 Blocked - see https://ipcheck.proofpoint.com/?ip=[ip_address],,,fwf.fwc.com,,,
2023-06-26 06:10:00,15cf939850033ac6b425f2af367773c4,Blocked,253,,smtp_554 Blocked - see https://ipcheck.proofpoint.com/?ip=[ip_address],,,merck.fr,,,
2023-06-26 06:10:00,cb04017be819e78c92e15d5ae1a64933,Blocked,253,,smtp_554 Blocked - see https://ipcheck.proofpoint.com/?ip=[ip_address],,,clubmed.com,,,
